company_name,company_number,status,date_of_creation,postcode,sic_codes
LEGACY SPORTS INTERNATIONAL LTD,11323395,active,2018-04-23,RM3 0NQ,79909
GROSVENOR INVESTIGATIONS LIMITED,11306923,active,2018-04-12,RM1 4BH,80300
JUMEIRAH PALM LOUNGE LIMITED,11863400,active,2019-03-06,RM1 2JH,56102
VICTORIA DECORATION LTD,11949669,active,2019-04-16,RM3 9RJ,43999
GREENCARE GARDEN SERVICES LTD,06560669,active,2008-04-09,RM4 1JU,41201
K T WINDOW SOLUTIONS LIMITED,12345170,active,2019-12-03,RM4 1PB,43342
WD FIRE SERVICES LTD,12258502,active,2019-10-12,RM4 1EX,33140
KHAS DESIGNS LIMITED,12438046,active,2020-02-03,RM6 4AS,47910
LEONAS LIMITED,12432831,active,2020-01-30,RM6 6DT,74902
RICHERCHOICE LIMITED,12332701,active,2019-11-25,RM1 2BX,"47220, 47240, 47750, 47910"
BILLETS SOLUTIONS LIMITED,12374227,active,2019-12-20,RM5 3BZ,64205
CUBEDEVELOP LTD,12364228,active,2019-12-16,RM3 9FA,43290
TRIPLE BB LIMITED,12268243,active,2019-10-17,RM1 3JT,43210
CALIN TRANSPORT LTD,11990472,active,2019-05-10,RM6 6HH,49410
DEN OF TECH LIMITED,12002091,active,2019-05-17,RM6 4UT,"47410, 47421, 47429, 47540"
CHADVILLE SAFETY CONSULTANCY LIMITED,11962226,active,2019-04-25,RM6 5UA,71129
KGN FAST FOOD LTD,12148919,active,2019-08-09,RM6 6LS,56103
SUNN CARE LIMITED,12196115,active,2019-09-09,RM6 4ED,87200
E&G BUSINESS SERVICES LTD,12199561,active,2019-09-10,RM6 6BU,"41100, 43210, 43220, 43320"
DIVIDED NATIONS LTD,12030537,active,2019-06-03,RM6 5ER,49410
JUNIORMAX LTD,12028613,active,2019-06-03,RM1 2NQ,42120
PAKISTAN TRADING LIMITED,12126224,active,2019-07-29,RM3 7HB,47620
GOLD SCORPIO LTD,12121335,active,2019-07-24,RM1 2EH,49410
VANS & HANS LTD,12114808,active,2019-07-22,RM5 3BX,"49410, 56210, 73110"
GOLDPEPPER LIMITED,12073926,active,2019-06-27,RM6 5SL,56102
D&A DELIVERY SERVICES LTD,12082161,active,2019-07-03,RM1 1DL,53202
BAGEL CRAFT LTD,12026955,active,2019-05-31,RM5 3ND,"56101, 56103, 56210, 56290"
CAPRANI HOLDINGS LIMITED,09733794,active,2015-08-14,RM2 5UG,47910
COLLIER ROW LANE 1977 LIMITED,09049634,active,2014-05-21,RM5 3DT,99999
J & N CAR HIRE SERVICES LIMITED,09560058,active,2015-04-24,RM6 6DS,77110
